Food,Color,January,February,March,April,May,June,July,August,September,October,November,December
Cherries,red,NA,NA,NA,CA,CA;MO;IL,CA;WA;OR;NM;WY;MT;AR;IL;MI;TN;KY;WV;CT;NH;VT;UH;CO;MD;RI;NJ,CA;WA;OR;NM;WY;MT;AR;IL;MI;TN;KY;WV;CT;NH;VT;UH;CO;MD;RI,MT;WA,NA,NA,NA,NA
Chinese Cabbage,green;white,CA,CA,CA,CA;MN,CA;MN,CA;MN;RI,RI,RI,RI;CA,CA;RI;MN;TN,CA;RI;MN;TN,CA;MN
Corn,yellow,FL,FL,FL,FL,AL;GA;SC;FL,WA;OK;MO;AL;MS;GA;SC;TN;FL;MD;DE,WA;AZ;CO;KS;OK;ND;MN;WI;MO;AR;LA;IN;OH;TN;MS;GA;SC;FL;VA;PA;MD;DE;NJ;CT;NH;VT;ME,WA;OR;AZ;CO;ND;MN;MO;AR;LA;MI;IN;OH;TN;MS;GA;FL;PA;NJ;CT;NH;VT;ME;MD;DE;SC;WI;KY,WA;OR;AZ;CO;ND;MN;MO;AR;LA;MI;IN;OH;TN;MS;GA;FL;PA;NJ;CT;NH;VT;ME;MD;DE,WA;OR;FL;GA;PA;CO;MO,FL,FL
Cucumber,green;yellow,FL;HI,FL;HI,FL;HI,FL;TX;HI,CA;TX;OK;MO;AR;AL;GA;SC;FL,WA;CA;NV;AK;HI;NM;TX;OK;MO;AR;TV;AL;MS;GA;NC;SC;FL;IN;OH;VA;DE;NJ;CT;MA;ME,AK;WA;OR;CA;NV;AZ;CO;NM;TX;OK;KS;ND;MN;IA;MO;AR;LA;WI;MI;IN;OH;KY;TN;GA;NC;VA;MD;DE;PA;CT;MA;VT;NH;ME;HI,OR;CA;NV;AK;NM;CO;TX;OK;ND;MN;IA;MO;IL;KY;TN;MS;GA;SC;NC;VA;HI;DE;PA;NY;VT;H;ME;CT;RI;MI;WI;MD;DE;NJ;MA,OR;CA;NV;AK;NM;CO;TX;OK;ND;MN;IA;MO;IL;KY;TN;MS;GA;SC;NC;VA;HI;DE;PA;NY;VT;H;ME;CT;RI,CA;CO;NM;TX;OK;MO;IL;MS;GA;SC;NC;NY;DE;RI;HI,CA;NM;TX;MS;GA;SC;NC;FL;HI,CA;TX;FL;HI
Currants,purple;blue;red,NA,NA,NA,NA,NA,WA,WA;MN;RI;AK,WA;MN;RI;AK,MN;AK,NA,NA,NA
Eggplant,purple,FL,FL,FL,CA;FL,CA;FL;MS,WA;OR;CA;NM;ND;MN;MO;AR;LA;MS;LA;TN;NC;IL;IN;OH;PA;RI;MI,CA;WA;OR;NM;KS;ND;MN;MO;AR;LA;AL;MS;IL;IN;OH;KY;TN;NC;MI;PA;MD;NJ;DE;CT;RI;VT;NH;ME,WA;OR;CA;NM;OR;KS;ND;MN;IA;MO;AR;LA;AL;TN;KY;IN;OH;IL;MI;PA;NY;NJ;MD;DE;VT;NH;MA;RI;ME,CA;OR;NM;CO;KS;ND;MN;IA;MO;AR;LA;MS;AL;FL;IL;IN;KY;TN;MI;OH;PA;DE;NJ;NY;VT;NH;MA;ME,CA;NM;CO;KS;MO;IL;IN;OH;AL;FL;PA;DE;NY;NJ;CT,CA;NM;FL,FL
Fennel,green;white;yellow,CA,CA,CA,CA,CA,CA;RI,CA;MN;RI,CA;NM;MN;RI,CA;NM;MN;RI,CA;NM;MN;RI,CA;MN;NM;RI,CA;MN
Grapefruit,red;orange;yellow,CA;TX;FL,CA;TX;FL,CA;TX;FL,CA;TX;FL,CA;TX;FL,CA;TX;FL,CA;FL,CA,CA;LA,CA;TX;FL;LA,CA;TX;FL;LA,CA;TX;FL;LA
Grapes,"green,purple,red",NA,NA,NA,NA,CA;TX;FL,CA;AL;GA,CA;NM;IA;MO;IL;LA;TN;GA,CA;NM;IA;MO;LA;AL;GA;FL;TN;NC;MD;NJ;NY,CA;WA;WY;LA;AL;FL;GA;NC;VA;IN;OH;IL;MO;IA;NY;VT;NH;ME;NJ;RI;MD,WA;CA;NM;MO;IL;GA;VA;NY;NH;VT;ME;RI,CA;WA;NM,CA
Kale,red;green,CA;MN;RI,CA;MN;RI,CA;MN;RI,CA;MN;RI,CA;TN;RI;MN,CA;LA;TN;RI;MN,"CA;KS,IA;MN;LA;TN;VT;NH;MA",ND;LA;VT;NH;MA,"CA;KS,IA;MN;LA;TN;VT;NH;MA","CA;KS,IA;MN;LA;TN;VT;NH;MA",CA;MN;IA;TN;LA;VT;NH;MA,CA;IA;MN;LA;RI
Lettuce,purple;green;white,CA;NM;IA;PA;HI,CA;NM;HI;IA;PA,CA;HI;NM;OK;IA;PA,CA;HI;NM;OK;IA;PA,CA;NM;OK;KS;NE;MN;IA;MO;IL;PA;RI;ME,CA;HI;AK;WY;CO;NM;OK;ND;SD;LA;MN;IA;PA;NJ;NY;MD;CT;RI;ME;TN,CA;HI;AK;WY;CO;NM;OK;ND;SD;LA;MN;IA;PA;NJ;NY;MD;CT;RI;ME,AK;HI;CA;UT;CO;WY;NM;LA;ND;SD;MN;IL;PA;NJ;NY;MA;CT;RI;ME,CA;AK;HI;NM;UT;WY;CO;ND;SD;MN;IA;IL;PA;NJ;NY;MA;CT;RI;ME,CA;UT;WY;CO;NM;OK;LA;HI;MN;IA;IL;PA;NJ;NY;MA;CT;RI;ME,CA;HI;NM;MN;IA;PA;ME,CA;HI;NM;MN;IA;PA;ME
Lima Beans,green,NA,NA,NA,NA,AL,MS;AL,AL;MS;IN;OH;PA;NJ;KS;MO;TN,AL;MS;IN;OH;PA;NJ;KS;MO;TN,AL;MS;IN;OH;PA;NJ;KS;MO;TN,AL;MS;IN;OH;PA;NJ;KS;MO;TN,NA,NA
Mushrooms,brown;white,CA;WA;MN;TN;FL;RI;DE;CT,CA;WA;MN;TN;FL;RI;DE;CT,CA;WA;MN;TN;FL;RI;DE;CT,CA;WA;MN;TN;FL;RI;DE;CT,CA;WA;MN;TN;FL;RI;DE;CT,CA;WA;MN;TN;FL;RI;DE;CT,CA;TX;TN;FL;MN;TN;DE;RI;CT,CA;TX;TN;FL;MN;TN;DE;RI;CT,WA;CA;TX;TN;FL;MN;TN;DE;RI;CT;ND,WA;CA;TX;TN;FL;MN;TN;DE;RI;CT,CA;WA;MN;TN;FL;RI;DE;CT,WA;CA;TX;TN;FL;MN;TN;DE;RI;CT
Nectarines,orange;red,NA,NA,NA,CA,CA;TX;AL,WA;CA;NM;TX;AL;AR;MO;IL,CA;OR;WA;NM;LA;AL;AR;MO;IL;IN;OH;MI;KY;VA;MD;NJ;CT;RI;VT;NH,CA;OR;WA;NM;LA;AL;AR;MO;IL;IN;OH;MI;KY;VA;MD;NJ;CT;RI;VT;NH,CA;OR;NM;MO;IL;LA;CT;RI,CA;RI,NA,NA
Okra,green;white,CA;FL,CA;FL,CA;FL,CA;FL,CA;AL;FL,CA;NM;OK;MO;IL;LA;AL;MS;FL;NC,CA;AZ;NM;OK;LA;MN;MO;IL;IN;OH;TN;AL;MS;FL;NJ;RI;NC,CA;AZ;NM;OK;LA;MN;MO;IL;IN;OH;TN;AL;MS;FL;NJ;RI,CA;AZ;NM;OK;LA;MN;MO;IL;IN;OH;TN;AL;MS;FL;NJ;RI,CA;NM;MO;MN;IL;LA;FL;NJ;MS;IN;OH;TN,CA;FL;MN;LA,CA;FL;MN;LA
Onions,green;white,CA;AK;NM;TX;UT;WY;CO;MT;ND;SD;NE;KS;MO;IA;MN;WI;IL;IN;OH;WV;TN;FL;NY;MA;CT;RI;NJ;ME,CA;WA;MT;CO;MN;FL;NY;ME;RI,CA;WA;MT;TX;MN;FL;NY;ME;RI,CA;TX;OK;AL;FL;IL;NY;ME;RI,CA;TX;OK;MO;IL;TN;AL;FL;RI,CA;WA;MT;NM;TX;OK;IA;MO;LA;AL;FL;TN;IL;IN;OH;WV;NJ,CA;WA;MT;SD;ND;NM;TX;OK;LA;FL;MO;TN;IL;IN;OH;WV;IA;WI;MN;NJ;MA;CT;RI;ME,CA;AK;NM;TX;UT;WY;CO;MT;ND;SD;NE;KS;MO;IA;MN;WI;IL;IN;OH;WV;TN;FL;NY;MA;CT;RI;NJ;ME,CA;AK;NM;UT;CO;WY;MT;WA;ND;SD;MN;IA;MO;LA;IL;WI;IN;OH;FL;NY;NJ;MA;RI;CT;ME,CA;WA;MT;CO;WY;UT;MN;IA;FL;NY;RI;ME;WI;IL;MO,CA;WA;MT;CO;WY;UT;MN;IA;FL;NY;RI;ME;LA,CA;WA;MT;CO;WY;UT;MN;IA;FL;NY;RI;ME
Oranges,orange,CA;HI;TX;FL,CA;HI;TX;FL,CA;HI;TX;FL,CA;HI;TX;FL,CA;HI;TX;FL,CA;HI;FL,CA;HI;FL,CA;HI,CA;HI;LA,CA;TX;LA;FL;HI,CA;TX;LA;FL;HI,CA;TX;LA;FL;HI
Peaches,orange;red;yellow,NA,NA,NA,TX,CA;TX;AL;MS;GA;SC,WA;CA;MT;NM;TX;OK;AR;MO;IL;MI;AL;MS;GA;SC;NC;TN;NC;DE,CA;WA;OR;MT;NM;TX;OK;NE;IA;MO;AR;LA;IL;IN;OH;MI;AL;MS;GA;SC;NC;WV;VA;MD;DE;NJ;NY;CT;RI,CA;WA;OR;MT;WY;CO;NM;AZ;UT;NE;OK;TX;IA;MO;AR;LA;MS;AL;IN;IL;OH;MI;SC;NC;VA;WV;MD;DE;NY;NJ;MA;CT;RI,CA;OR;UT;AZ;OK;MO;AR;LA;MI;SC;NC;MD;MA;CT;RI,CA;RI,CA;RI,NA
Pears,green;red;yellow,CA,CA,NA,NA,TX,CA;TX;LA,CA;TX;LA;MO,WA;CA;NM;OK;LA;MO;LA;NY;CT;RI;AL;VT;NH;NY;ME;MD;TN;KY;TX,WA;CA;NM;OK;LA;MO;LA;NY;CT;RI;AL;VT;NH;NY;ME;MD;TN;KY;CO,WA;CA;NM;OK;LA;MO;LA;NY;CT;RI;AL;VT;NH;NY;ME;MD;TN;KY,WA;CA;NM;OK;LA;MO;LA;NY;CT;RI,WA;CT;CA;LA
Peas,green,NA,NM,NM,CA;WA;NM;OK;IL;MN,CA;WA;NM;KS;MN;IL;IN;OH;MI;MS;PA;NJ;MA;RI;DE,CA;WA;NM;KS;MN;IL;IN;OH;MI;MS;PA;NJ;MA;RI;DE,CA;OR;WA;AK;NM;ND;LA;IL;KY;TN;MS;NC;NY;NH;VT;MA;RI;ME;KS,CA;WA;OR;AK;LA;ND;IL;KY;TN;NC;MS;MA;ME,CA;ND;IL;TN;AL;LA;MA;AK,CA;OK;LA;MS;IL;RI,CA;LA;IL,LA
Pecan,brown;white,AL;TX;OK,AL,AL,AL,AL,AL,AL,AL,NM;AL;GA;MS,TX;TN;MS;GA;AZ;NM;OK,TX;TN;NC;MS;GA;AZ;NM;OK,TX;TN;NC;MS;GA
Pistachio,green;brown,CA,CA,CA,CA,CA,CA,CA,CA,TX;TN;MS;GA;AZ;NM;OK,TX;TN;MS;GA;AZ;NM;OK,AZ;NM;CA,CA
Potatoes,white;yellow;red,WA;CA;AK;MT;CO;WY;FL;NY;RI;ME,WA;CA;AK;MT;WY;CO;FL;NY;ME;RI,CA;AK;WY;CO;TX;FL;NY;RI;ME;MT;WA,CA;AK;WY;CO;TX;FL;NY;RI;ME,AK;CA;MT;CO;WY;TX;OK;AR;MS;LS;FL;MI;ME,CA;WA;MT;WY;CO;NM;TX;OK;KS;NE;MO;AR;LA;MI;WI;IL;KY;AL;MS;FL;NC;OH;WV;NY;VT;NH;ME,WA;OR;CA;NV;AK;UT;MT;CO;WY;NM;TX;SD;NE;KS;OK;LA;AR;MO;IA;MN;WI;IL;IN;OH;MI;KY;WV;NC;MS;LA;FL;MD;DE;NJ;NY;MA;CT;RI;NH;VT;ME,ME;VT;NH;MA;RI;CT;NY;NJ;PA;MD;WV;KY;OH;IN;IH;WI;MN;IA;MO;LA;TX;KS;SD;NM;CO;WY;MT;UT;NV;WA;OR;CA;AK;AL;MS,ME;VT;NH;MA;RI;CT;NY;NJ;PA;MD;WV;KY;OH;IN;IH;WI;MN;IA;MO;LA;TX;KS;SD;NM;CO;WY;MT;UT;NV;WA;OR;CA;AK;AL,WA;OR;CA;NV;AK;NM;CO;WY;MT;KS;MN;IA;MO;IL;WI;LA;WV;PA;NJ;NY;MA;CT;RI;ME,AK;WA;OR;CA;NV;UT;CO;WY;NM;OK;LA;MO;IA;MN;IL;PA;NY;RI;CT;ME,ME;CT;RI;NY;PA;IA;MN;OK;WY;CO;AK;CA;WA;OR;LA;MO
Pumpkin,orange,NA,NA,NA,ME,ME,ME,OK;MO;ME,OK;MO;IL;DE;RI;ME,WA;OR;MT;NM;CO;KS;OK;LA;MS;AL;AR;MO;IA;WI;MI;IN;IL;OH;KY;TN;NC;VA;PA;MD;RI;NY;VT;NH;MA,WA;OR;NV;AZ;NM;CO;MT;OK;LA;MS;AL;AR;MO;IA;MN;WI;MI;IN;OH;KY;TN;NC;VA;PA;MD;DE;NY;VT;NH;MA,WA;NV;AZ;NM;OK;LA;MO;IA;MN;IL;PA;RI;MD,RI;PA;MN;IA;MO;LA
Radishes,red;white,CA;NM;FL,CA;NM;FL,CA;NM;OK;FL,CA;NM;KS;OK;MN;FL;ME,WA;CA;NM;OK;MO;IL;MN;FL;NY;ME;RI,CA;WA;NM;MN;MO;IL;FL;NY;MA;ME,WA;CA;AK;ND;MO;IL;NY;MA;RI;ME,WA;CA;AK;ND;MO;IL;NY;MA;RI;ME,CA;WA;AK;NM;KS;OK;ND;MO;IL;LA;NY;MA;RI;ME,CA;WA;NM;OK;LA;FL;MO;IL;NY;RI,WA;CA;NM;OK;LA;FL;NY;RI,CA;NM;FL;RI;LA
Raspberries,red,MN,MN,MN,CA;MN,CA;MN;TN,CA;WA;OR;NM;MN;MO;TN;VA;MD;CT;RI,WA;OR;CA;AK;NM;MT;ND;MN;IA;AR;MO;WI;MI;IN;OH;KY;TN;NY;CT;NJ;ME,CA;WA;NM;MN;NY;CT;VA;MO;IA;CO;AR;TN;KY;VA;MD;NJ;RI;MI;OH;OR;VT;NH,CA;WA;NM;MN;NY;CT;VA;MO;IA;CO;AR;TN;KY;VA;MD;NJ;RI;MI;OH;OR,CA;WA;NM;MN;NY;CT;VA;MO;IA;CO,CA;WA;NM;MN,MN
Rhubarb,red;green,WA,WA,WA,CA;OR;NM;MN,CA;WA;OR;CO;MN;MO;AR;IL;KY;TN;MI;NY;RI;VT;NH;ME,CA;WA;OR;CO;MN;MO;AR;IL;KY;TN;MI;NY;RI,CA;OR;CO;ND;MO;IL;KY;NY;RI,CA;AK;CO;ND;MO;IL;KY;NY;RI,CA;AK;CO;ND;MO;IL;RI,CA;MO;RI;IL;AK,CA,NA
Rutabaga,green;brown,CA;MN;ME,CA;MN;ME,CA;MN,CA;MN,CA,NA,WA,AL;WA;RI,AK;WA;LA;ME;RI,ME;RI;MN;CA;LA;WA,ME;RI;MN;CA;LA;WA,ME;RI;MN;CA;LA
Scallions,green;white,CA;AL,CA;AL,CA;AL;GA,CA;KS;MO;AL;GA;RI;MN;ME,CA;MN;KS;MO;GA;RI;ME,AK;CA;MN;KS;MO;GA;RI;ME,CA;AK;ND;MN;MO;GA;ME;RI,AK;CA;ND;MN;MO;GA;RI;ME,CA;AK;ND;MN;MO;GA;RI;ME,CA;MN;MO;GA;RI,CA;RI;MN;GA;MO,CA;MN;RI
SnowPea,green,NA,NA,NA,NA,NA,WA;CA;OR;NV;AK;HI;UT;ID;MT;WY;CO;NM;AZ;TX;OK;NE;KS;ND;SD;MN;IA;MO;AR;LA;AL;MS;GA;SC;NC;FL;KY;TN;WV;VA;IN;IL;OH;WI;MI;PA;NJ;MD;DE;NY;RI;CT;MA;VT;NH;ME,WA;CA;OR;NV;AK;HI;UT;ID;MT;WY;CO;NM;AZ;TX;OK;NE;KS;ND;SD;MN;IA;MO;AR;LA;AL;MS;GA;SC;NC;FL;KY;TN;WV;VA;IN;IL;OH;WI;MI;PA;NJ;MD;DE;NY;RI;CT;MA;VT;NH;ME,WA;CA;OR;NV;AK;HI;UT;ID;MT;WY;CO;NM;AZ;TX;OK;NE;KS;ND;SD;MN;IA;MO;AR;LA;AL;MS;GA;SC;NC;FL;KY;TN;WV;VA;IN;IL;OH;WI;MI;PA;NJ;MD;DE;NY;RI;CT;MA;VT;NH;ME,WA;CA;OR;NV;AK;HI;UT;ID;MT;WY;CO;NM;AZ;TX;OK;NE;KS;ND;SD;MN;IA;MO;AR;LA;AL;MS;GA;SC;NC;FL;KY;TN;WV;VA;IN;IL;OH;WI;MI;PA;NJ;MD;DE;NY;RI;CT;MA;VT;NH;ME,WA;CA;OR;NV;AK;HI;UT;ID;MT;WY;CO;NM;AZ;TX;OK;NE;KS;ND;SD;MN;IA;MO;AR;LA;AL;MS;GA;SC;NC;FL;KY;TN;WV;VA;IN;IL;OH;WI;MI;PA;NJ;MD;DE;NY;RI;CT;MA;VT;NH;ME,WA;CA;OR;NV;AK;HI;UT;ID;MT;WY;CO;NM;AZ;TX;OK;NE;KS;ND;SD;MN;IA;MO;AR;LA;AL;MS;GA;SC;NC;FL;KY;TN;WV;VA;IN;IL;OH;WI;MI;PA;NJ;MD;DE;NY;RI;CT;MA;VT;NH;ME,WA;CA;OR;NV;AK;HI;UT;ID;MT;WY;CO;NM;AZ;TX;OK;NE;KS;ND;SD;MN;IA;MO;AR;LA;AL;MS;GA;SC;NC;FL;KY;TN;WV;VA;IN;IL;OH;WI;MI;PA;NJ;MD;DE;NY;RI;CT;MA;VT;NH;ME
